trust_code,trust_name,specialty_code,specialty_name,is_surgical_specialty,specialty_inclusion_criteria,total_months,part2a_available_months,latest_part2a_value,latest_total_incomplete_value,part2a_coverage_pct,eligible_for_capacity_simulation
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",502,Gynaecology,True,Included: Gynaecology treatment function has admitted operative pathways.,54,54,253.0,4713.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",150,Neurosurgery,True,Included: Neurosurgery treatment function.,54,54,238.0,2437.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",130,Ophthalmology,True,Included: Ophthalmology treatment function commonly includes operative pathways.,54,54,512.0,3646.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",110,Trauma & Orthopaedics,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,54,54,524.0,6049.0,100.0,True
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",101,Urology,True,Included: Urology treatment function commonly includes operative admitted pathways.,54,54,215.0,4320.0,100.0,True
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,160,Plastic Surgery Service,True,Included: Plastic Surgery treatment function.,7,7,8.0,20.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,170,Cardiothoracic Surgery,True,Included: Cardiothoracic Surgery treatment function.,36,36,410.0,718.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",62,62,1362.0,6232.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",36,36,1044.0,9037.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,100,General Surgery,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,36,36,1001.0,3295.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,1644.0,4634.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,502,Gynaecology,True,Included: Gynaecology treatment function has admitted operative pathways.,36,36,1158.0,7161.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,1052.0,8808.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,150,Neurosurgery,True,Included: Neurosurgery treatment function.,36,36,258.0,747.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,150,Neurosurgical Service,True,Included: Neurosurgery treatment function.,62,62,177.0,1588.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,130,Ophthalmology,True,Included: Ophthalmology treatment function commonly includes operative pathways.,36,36,1057.0,5174.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,819.0,5917.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,140,Oral Surgery,True,Included: Oral Surgery treatment function.,36,36,442.0,3873.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,140,Oral Surgery Service,True,Included: Oral Surgery treatment function.,62,62,474.0,3502.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,160,Plastic Surgery,True,Included: Plastic Surgery treatment function.,36,36,596.0,1029.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,160,Plastic Surgery Service,True,Included: Plastic Surgery treatment function.,62,62,708.0,1220.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,110,Trauma & Orthopaedics,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,36,36,1757.0,8227.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,1700.0,8647.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,101,Urology,True,Included: Urology treatment function commonly includes operative admitted pathways.,36,36,1303.0,4877.0,100.0,True
R1H,BARTS HEALTH NHS TRUST,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,62,62,1162.0,6346.0,100.0,True
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",30,30,366.0,3389.0,100.0,True
NT402,BATH CLINIC,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,52,52,11.0,45.0,100.0,True
NT402,BATH CLINIC,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,52,52,18.0,160.0,100.0,True
NT402,BATH CLINIC,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,52,52,145.0,471.0,100.0,True
NVC0I,BEACON PARK HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,8.0,156.0,100.0,True
NVC0I,BEACON PARK HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,39.0,295.0,100.0,True
NVC0I,BEACON PARK HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,38.0,290.0,100.0,True
NT403,BEARDWOOD HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",52,52,8.0,109.0,100.0,True
NT403,BEARDWOOD HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,52,52,116.0,248.0,100.0,True
NT403,BEARDWOOD HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,52,52,33.0,169.0,100.0,True
NT403,BEARDWOOD HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,52,52,614.0,1363.0,100.0,True
NT403,BEARDWOOD HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,52,52,19.0,150.0,100.0,True
NT404,BEAUMONT HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",52,52,17.0,264.0,100.0,True
NT404,BEAUMONT HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,52,52,84.0,634.0,100.0,True
NT404,BEAUMONT HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,52,52,23.0,725.0,100.0,True
NT404,BEAUMONT HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,52,52,144.0,1279.0,100.0,True
NT404,BEAUMONT HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,52,52,20.0,276.0,100.0,True
RC1,BEDFORD HOSPITAL NHS TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",30,30,88.0,1079.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",62,62,604.0,7397.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",12,12,206.0,3538.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,12,12,939.0,2414.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,1088.0,3953.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,502,Gynaecology,True,Included: Gynaecology treatment function has admitted operative pathways.,12,12,513.0,3426.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,1271.0,6117.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology,True,Included: Ophthalmology treatment function commonly includes operative pathways.,12,12,1199.0,6662.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,1016.0,3447.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,140,Oral Surgery,True,Included: Oral Surgery treatment function.,12,12,1436.0,3638.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,140,Oral Surgery Service,True,Included: Oral Surgery treatment function.,62,62,1316.0,7024.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,160,Plastic Surgery,True,Included: Plastic Surgery treatment function.,12,12,353.0,716.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,160,Plastic Surgery Service,True,Included: Plastic Surgery treatment function.,62,62,614.0,1594.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,110,Trauma & Orthopaedics,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,12,12,1864.0,3139.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,2128.0,6688.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,101,Urology,True,Included: Urology treatment function commonly includes operative admitted pathways.,12,12,1112.0,2942.0,100.0,True
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,62,62,717.0,4574.0,100.0,True
NWF01,BENENDEN HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",62,62,16.0,117.0,100.0,True
NWF01,BENENDEN HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,40.0,133.0,100.0,True
NWF01,BENENDEN HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,26.0,94.0,100.0,True
NWF01,BENENDEN HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,229.0,749.0,100.0,True
NWF01,BENENDEN HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,62,62,15.0,62.0,100.0,True
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,502,Gynaecology,True,Included: Gynaecology treatment function has admitted operative pathways.,50,50,424.0,5077.0,100.0,True
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,498.0,6215.0,100.0,True
NT405,BISHOPS WOOD,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",3,3,1.0,126.0,100.0,True
NT405,BISHOPS WOOD,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,3,3,8.0,61.0,100.0,True
NT405,BISHOPS WOOD,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,3,3,1.0,59.0,100.0,True
NT405,BISHOPS WOOD,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,3,3,3.0,23.0,100.0,True
NT405,BISHOPS WOOD,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,3,3,19.0,234.0,100.0,True
NT405,BISHOPS WOOD HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,49,49,13.0,46.0,100.0,True
NT405,BISHOPS WOOD HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,49,49,1.0,13.0,100.0,True
NT405,BISHOPS WOOD HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,49,49,63.0,304.0,100.0,True
NT406,BLACKHEATH HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,52,52,10.0,135.0,100.0,True
NT406,BLACKHEATH HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,52,52,13.0,117.0,100.0,True
NT406,BLACKHEATH HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,52,52,64.0,595.0,100.0,True
NT406,BLACKHEATH HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,52,52,11.0,216.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,170,Cardiothoracic Surgery Service,True,Included: Cardiothoracic Surgery treatment function.,62,62,268.0,992.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",62,62,349.0,3417.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,120,"Ear, Nose & Throat (ENT)",True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",42,42,238.0,1260.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,286.0,1147.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,62,62,150.0,3159.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,666.0,3568.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,140,Oral Surgery Service,True,Included: Oral Surgery treatment function.,62,62,274.0,2080.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,1037.0,2804.0,100.0,True
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,62,62,409.0,2550.0,100.0,True
NVC31,BLAKELANDS HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,62,62,57.0,325.0,100.0,True
NVC31,BLAKELANDS HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,62,62,31.0,295.0,100.0,True
NVC31,BLAKELANDS HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,62,62,90.0,1041.0,100.0,True
NT402,BMI - BATH CLINIC,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,7.0,76.0,100.0,True
NT402,BMI - BATH CLINIC,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,10,10,9.0,253.0,100.0,True
NT402,BMI - BATH CLINIC,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,60.0,704.0,100.0,True
NT402,BMI - BATH CLINIC,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,3.0,29.0,100.0,True
NT405,BMI - BISHOPS WOOD,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",10,10,6.0,151.0,100.0,True
NT405,BMI - BISHOPS WOOD,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,13.0,48.0,100.0,True
NT405,BMI - BISHOPS WOOD,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,10,10,5.0,15.0,100.0,True
NT405,BMI - BISHOPS WOOD,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,30.0,173.0,100.0,True
NT409,BMI - CHELSFIELD PARK HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,24.0,95.0,100.0,True
NT409,BMI - CHELSFIELD PARK HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,10,10,30.0,151.0,100.0,True
NT409,BMI - CHELSFIELD PARK HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,68.0,216.0,100.0,True
NT409,BMI - CHELSFIELD PARK HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,15.0,55.0,100.0,True
NT416,BMI - HENDON HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,9.0,92.0,100.0,True
NT416,BMI - HENDON HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,10,10,30.0,147.0,100.0,True
NT416,BMI - HENDON HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,9.0,239.0,100.0,True
NT416,BMI - HENDON HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,2.0,60.0,100.0,True
NT433,BMI - SARUM ROAD HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,81.0,269.0,100.0,True
NT436,BMI - SHIRLEY OAKS HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,14.0,46.0,100.0,True
NT436,BMI - SHIRLEY OAKS HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,10,10,21.0,199.0,100.0,True
NT436,BMI - SHIRLEY OAKS HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,10,10,9.0,34.0,100.0,True
NT436,BMI - SHIRLEY OAKS HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,13.0,135.0,100.0,True
NT436,BMI - SHIRLEY OAKS HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,36.0,98.0,100.0,True
NT401,BMI - THE ALEXANDRA HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,188.0,579.0,100.0,True
NT401,BMI - THE ALEXANDRA HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,10,10,15.0,218.0,100.0,True
NT401,BMI - THE ALEXANDRA HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,310.0,1383.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",10,10,19.0,440.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,192.0,589.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,10,10,24.0,310.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,130,Ophthalmology Service,True,Included: Ophthalmology treatment function commonly includes operative pathways.,10,10,45.0,76.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,244.0,1098.0,100.0,True
NT403,BMI - THE BEARDWOOD HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,29.0,182.0,100.0,True
NT404,BMI - THE BEAUMONT HOSPITAL,120,Ear Nose and Throat Service,True,"Included: Ear, Nose and Throat treatment function commonly includes operative pathways.",10,10,15.0,783.0,100.0,True
NT404,BMI - THE BEAUMONT HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,134.0,412.0,100.0,True
NT404,BMI - THE BEAUMONT HOSPITAL,502,Gynaecology Service,True,Included: Gynaecology treatment function has admitted operative pathways.,10,10,34.0,666.0,100.0,True
NT404,BMI - THE BEAUMONT HOSPITAL,110,Trauma and Orthopaedic Service,True,Included: Trauma and Orthopaedics treatment function commonly includes admitted operative pathways.,10,10,73.0,764.0,100.0,True
NT404,BMI - THE BEAUMONT HOSPITAL,101,Urology Service,True,Included: Urology treatment function commonly includes operative admitted pathways.,10,10,72.0,373.0,100.0,True
NT406,BMI - THE BLACKHEATH HOSPITAL,100,General Surgery Service,True,Included: General Surgery treatment function commonly includes operative admitted pathways.,10,10,50.0,219.0,100.0,True
