context_id,trust_code,trust_name,specialty_code,specialty_name,horizon,base_value,sum_feature_contributions,base_plus_sum,model_output,approximation_error,absolute_approximation_error
2239,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1251.9181406265207,18751.252447048795,20003.170587675315,20003.17058767532,-3.637978807091713e-12,3.637978807091713e-12
2239,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1345.1320852241447,19356.713303981636,20701.84538920578,20701.84538920578,0.0,0.0
3027,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1146.8342360127563,13229.333922915359,14376.168158928114,14376.168158928116,-1.8189894035458565e-12,1.8189894035458565e-12
3027,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1295.6652434143327,14112.655553513861,15408.320796928194,15408.320796928196,-1.8189894035458565e-12,1.8189894035458565e-12
3027,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1414.6913361839615,14790.020621768017,16204.711957951979,16204.711957951979,0.0,0.0
3113,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1155.7750465044703,15406.638110188316,16562.413156692786,16562.413156692786,0.0,0.0
3113,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1284.1904432203985,15817.795155542162,17101.98559876256,17101.98559876256,0.0,0.0
3113,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1382.9820636463107,16330.09616572123,17713.07822936754,17713.07822936754,0.0,0.0
3777,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,X05,Other - Surgical Services,1,1123.6551462911248,10688.131834900478,11811.786981191603,11811.7869811916,1.8189894035458565e-12,1.8189894035458565e-12
3777,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,X05,Other - Surgical Services,6,1252.6449287372325,11639.82925844446,12892.474187181693,12892.474187181691,1.8189894035458565e-12,1.8189894035458565e-12
3777,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,X05,Other - Surgical Services,12,1355.7288052425004,12386.980934704072,13742.709739946573,13742.709739946571,1.8189894035458565e-12,1.8189894035458565e-12
2832,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,1,1103.9619572369959,32081.70665060858,33185.668607845575,33185.66860784558,-7.275957614183426e-12,7.275957614183426e-12
2832,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,6,1243.651136211178,34016.738326884006,35260.38946309518,35260.38946309518,0.0,0.0
2832,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,130,Ophthalmology Service,12,1345.7961696180575,35930.5887883275,37276.38495794556,37276.38495794556,0.0,0.0
1289,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,140,Oral Surgery Service,1,1168.5776680988943,17953.682786526,19122.26045462489,19122.260454624895,-3.637978807091713e-12,3.637978807091713e-12
1289,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,140,Oral Surgery Service,6,1312.748544448156,19631.797051890167,20944.545596338325,20944.545596338325,0.0,0.0
1289,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,140,Oral Surgery Service,12,1427.1869497867033,20788.06242985094,22215.249379637644,22215.249379637644,0.0,0.0
2501,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1146.3334452829204,17432.624571001732,18578.958016284654,18578.958016284654,0.0,0.0
2501,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1277.5748397088048,18316.130616761722,19593.70545647053,19593.70545647053,0.0,0.0
2501,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1376.5076594305065,18975.99119654548,20352.498855975988,20352.498855975988,0.0,0.0
1300,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,502,Gynaecology Service,1,1139.2266623310352,16207.920001962586,17347.14666429362,17347.14666429362,0.0,0.0
1300,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,502,Gynaecology Service,6,1274.6133248950189,17589.450662134488,18864.063987029505,18864.0639870295,3.637978807091713e-12,3.637978807091713e-12
1300,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,502,Gynaecology Service,12,1382.0044522004112,18583.180860526852,19965.185312727262,19965.18531272726,3.637978807091713e-12,3.637978807091713e-12
3753,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,X02,Other - Medical Services,1,1194.8897908604476,15339.020159219697,16533.909950080146,16533.909950080146,0.0,0.0
3753,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,X02,Other - Medical Services,6,1361.6954783057356,16336.016369918216,17697.711848223953,17697.71184822395,3.637978807091713e-12,3.637978807091713e-12
3753,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,X02,Other - Medical Services,12,1495.6444000243953,17195.013390063395,18690.65779008779,18690.65779008779,0.0,0.0
1508,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,1,1090.189815837536,16212.97129387909,17303.161109716628,17303.161109716624,3.637978807091713e-12,3.637978807091713e-12
1508,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,6,1183.8465247474833,16551.54511540198,17735.391640149464,17735.39164014946,3.637978807091713e-12,3.637978807091713e-12
1508,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,12,1258.7213696193355,16947.197546699124,18205.91891631846,18205.91891631846,0.0,0.0
1275,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,330,Dermatology Service,1,1437.7568743408099,15204.53963228763,16642.296506628438,16642.296506628438,0.0,0.0
1275,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,330,Dermatology Service,6,1679.5157952610107,15889.543051606319,17569.05884686733,17569.058846867327,3.637978807091713e-12,3.637978807091713e-12
1275,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,330,Dermatology Service,12,1873.3051027319025,15790.883465839426,17664.188568571328,17664.188568571328,0.0,0.0
1286,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1087.4879177638013,14864.623654033494,15952.111571797295,15952.111571797295,0.0,0.0
1286,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1197.506288389985,15691.751997813819,16889.258286203803,16889.2582862038,3.637978807091713e-12,3.637978807091713e-12
1286,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1283.9493029691141,16374.630159702623,17658.579462671736,17658.579462671736,0.0,0.0
1522,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,502,Gynaecology Service,1,1124.4045421475923,15052.743759662902,16177.148301810495,16177.148301810495,0.0,0.0
1522,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,502,Gynaecology Service,6,1234.9267148531642,15657.891771535986,16892.81848638915,16892.818486389147,3.637978807091713e-12,3.637978807091713e-12
1522,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,502,Gynaecology Service,12,1322.8743865746014,16323.179453693341,17646.05384026794,17646.053840267945,-3.637978807091713e-12,3.637978807091713e-12
1523,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1150.201660557899,15069.214642077755,16219.416302635655,16219.416302635655,0.0,0.0
1523,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1258.2022471663086,15588.874133575624,16847.07638074193,16847.076380741935,-3.637978807091713e-12,3.637978807091713e-12
1523,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1345.4896442342326,16242.547365705916,17588.037009940148,17588.037009940148,0.0,0.0
1680,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,1,1171.806249855533,14073.062835033466,15244.869084889,15244.869084889004,-3.637978807091713e-12,3.637978807091713e-12
1680,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,6,1310.1197230925707,15053.017763306942,16363.137486399512,16363.137486399513,-1.8189894035458565e-12,1.8189894035458565e-12
1680,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,12,1421.0568602820736,15939.082084938695,17360.13894522077,17360.138945220766,3.637978807091713e-12,3.637978807091713e-12
1516,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,320,Cardiology Service,1,1052.0077879970047,13291.619593245787,14343.627381242792,14343.62738124279,1.8189894035458565e-12,1.8189894035458565e-12
1516,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,320,Cardiology Service,6,1144.5701516557845,14416.245730462857,15560.81588211864,15560.81588211864,0.0,0.0
1516,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,320,Cardiology Service,12,1219.4196550060626,15331.782065575011,16551.201720581073,16551.201720581073,0.0,0.0
3657,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1166.6673926350338,12493.572352710735,13660.239745345769,13660.239745345769,0.0,0.0
3657,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1327.920110125581,13811.409566198849,15139.329676324429,15139.329676324429,0.0,0.0
3657,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1456.8269118988387,14789.512290880843,16246.339202779682,16246.339202779687,-5.4569682106375694e-12,5.4569682106375694e-12
3152,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1087.8869708713485,13167.652207563087,14255.539178434436,14255.539178434436,0.0,0.0
3152,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1219.5910896420232,13944.102227352609,15163.693316994631,15163.693316994631,0.0,0.0
3152,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1324.7407712387203,14664.948105091027,15989.688876329747,15989.688876329745,1.8189894035458565e-12,1.8189894035458565e-12
1507,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,1,1148.969971713119,14366.114208379264,15515.084180092383,15515.084180092379,3.637978807091713e-12,3.637978807091713e-12
1507,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,6,1276.0436892820865,14403.774034536626,15679.817723818713,15679.81772381871,1.8189894035458565e-12,1.8189894035458565e-12
1507,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,110,Trauma and Orthopaedic Service,12,1374.7051912480338,14543.78832315262,15918.493514400652,15918.49351440065,1.8189894035458565e-12,1.8189894035458565e-12
3012,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,1,1160.444257224507,12365.80863515428,13526.252892378787,13526.252892378787,0.0,0.0
3012,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,6,1314.4549453730422,13402.222812679838,14716.67775805288,14716.677758052883,-3.637978807091713e-12,3.637978807091713e-12
3012,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,12,1437.5767236549914,14231.761473890772,15669.338197545763,15669.338197545763,0.0,0.0
1304,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,1,1128.5417450542093,11868.006990692145,12996.548735746355,12996.548735746353,1.8189894035458565e-12,1.8189894035458565e-12
1304,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,6,1275.419935724168,13134.764596250805,14410.184531974974,14410.18453197497,3.637978807091713e-12,3.637978807091713e-12
1304,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,X05,Other - Surgical Services,12,1392.3694949821684,13999.369041038206,15391.738536020373,15391.738536020377,-3.637978807091713e-12,3.637978807091713e-12
1933,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,502,Gynaecology Service,1,1111.313353849516,12086.945937876484,13198.259291726,13198.259291726003,-1.8189894035458565e-12,1.8189894035458565e-12
1933,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,502,Gynaecology Service,6,1235.8099908490096,13043.514982313325,14279.324973162335,14279.324973162333,1.8189894035458565e-12,1.8189894035458565e-12
1933,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,502,Gynaecology Service,12,1335.5749763395663,13919.620715855117,15255.195692194684,15255.195692194682,1.8189894035458565e-12,1.8189894035458565e-12
1848,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,100,General Surgery Service,1,1068.7850473722026,12067.035877701657,13135.82092507386,13135.820925073862,-1.8189894035458565e-12,1.8189894035458565e-12
1848,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,100,General Surgery Service,6,1190.2561321177752,13047.782026364246,14238.03815848202,14238.038158482022,-1.8189894035458565e-12,1.8189894035458565e-12
1848,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,100,General Surgery Service,12,1286.689752020033,13960.505845367685,15247.195597387717,15247.195597387716,1.8189894035458565e-12,1.8189894035458565e-12
1287,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,1,1126.7968265667157,11335.59004877956,12462.386875346276,12462.386875346278,-1.8189894035458565e-12,1.8189894035458565e-12
1287,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,6,1269.1934685408519,12337.513623992765,13606.707092533617,13606.707092533617,0.0,0.0
1287,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,12,1381.5828101265784,13073.916671702666,14455.499481829243,14455.499481829243,0.0,0.0
2602,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,301,Gastroenterology Service,1,1016.9914070532157,11373.904868413625,12390.896275466841,12390.89627546684,1.8189894035458565e-12,1.8189894035458565e-12
2602,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,301,Gastroenterology Service,6,1123.4351405393145,12313.634518924684,13437.069659464,13437.069659463998,1.8189894035458565e-12,1.8189894035458565e-12
2602,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,301,Gastroenterology Service,12,1207.9400229834284,13115.277498502603,14323.21752148603,14323.21752148603,0.0,0.0
3455,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,X06,Other - Other Services,1,1103.1065711359067,11782.520465222258,12885.627036358164,12885.627036358164,0.0,0.0
3455,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,X06,Other - Other Services,6,1228.9030812234823,12413.421379509602,13642.324460733085,13642.324460733082,3.637978807091713e-12,3.637978807091713e-12
3455,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,X06,Other - Other Services,12,1329.9724346877604,12942.490323079921,14272.462757767682,14272.46275776768,1.8189894035458565e-12,1.8189894035458565e-12
3393,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,X02,Other - Medical Services,1,1125.2891966378365,11369.350431095625,12494.63962773346,12494.639627733459,1.8189894035458565e-12,1.8189894035458565e-12
3393,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,X02,Other - Medical Services,6,1262.5643226971313,12042.567706137668,13305.1320288348,13305.132028834798,1.8189894035458565e-12,1.8189894035458565e-12
3393,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,X02,Other - Medical Services,12,1372.9320869598914,12812.637103569226,14185.569190529117,14185.569190529117,0.0,0.0
1397,R1H,BARTS HEALTH NHS TRUST,502,Gynaecology Service,1,1039.0735710978258,10764.109663466628,11803.183234564454,11803.183234564453,1.8189894035458565e-12,1.8189894035458565e-12
1397,R1H,BARTS HEALTH NHS TRUST,502,Gynaecology Service,6,1147.9705112297413,11917.742154572934,13065.712665802675,13065.712665802672,3.637978807091713e-12,3.637978807091713e-12
1397,R1H,BARTS HEALTH NHS TRUST,502,Gynaecology Service,12,1234.7047534828648,12889.169770671717,14123.874524154582,14123.874524154582,0.0,0.0
2242,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X05,Other - Surgical Services,1,1100.0683023418742,11024.035254391918,12124.103556733793,12124.103556733791,1.8189894035458565e-12,1.8189894035458565e-12
2242,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X05,Other - Surgical Services,6,1216.3426303773929,11853.096521793756,13069.439152171148,13069.439152171148,0.0,0.0
2242,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,X05,Other - Surgical Services,12,1308.4336656703874,12646.381816349596,13954.815482019983,13954.815482019983,0.0,0.0
2182,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,1,1103.8192011443482,11229.151867171855,12332.971068316203,12332.971068316205,-1.8189894035458565e-12,1.8189894035458565e-12
2182,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,6,1243.9532709392709,11910.673474972082,13154.626745911353,13154.626745911355,-1.8189894035458565e-12,1.8189894035458565e-12
2182,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,12,1355.4580039683601,12501.757203140973,13857.215207109333,13857.215207109333,0.0,0.0
1288,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,1,1088.5995257721138,10993.970216975105,12082.569742747219,12082.56974274722,-1.8189894035458565e-12,1.8189894035458565e-12
1288,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,6,1204.9038191009765,11845.975758772003,13050.87957787298,13050.879577872982,-1.8189894035458565e-12,1.8189894035458565e-12
1288,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,130,Ophthalmology Service,12,1297.2354738214142,12542.466096340231,13839.701570161646,13839.701570161646,0.0,0.0
1786,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,1,1124.571822959647,10732.306880253798,11856.878703213446,11856.878703213444,1.8189894035458565e-12,1.8189894035458565e-12
1786,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,6,1253.6693065727375,11612.68969553944,12866.359002112178,12866.359002112178,0.0,0.0
1786,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,X04,Other - Paediatric Services,12,1356.016844837459,12288.988204551577,13645.005049389036,13645.005049389032,3.637978807091713e-12,3.637978807091713e-12
1515,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,301,Gastroenterology Service,1,1000.5933212199549,11505.706344916412,12506.299666136367,12506.29966613637,-3.637978807091713e-12,3.637978807091713e-12
1515,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,301,Gastroenterology Service,6,1088.2587629609563,11944.361047928918,13032.619810889875,13032.619810889875,0.0,0.0
1515,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,301,Gastroenterology Service,12,1158.6702526251415,12377.158267829416,13535.828520454557,13535.82852045456,-1.8189894035458565e-12,1.8189894035458565e-12
2595,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,1,1089.8019699665467,10494.532506044214,11584.334476010761,11584.334476010761,0.0,0.0
2595,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,6,1225.2156770958873,11447.066868094571,12672.282545190457,12672.282545190457,0.0,0.0
2595,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,120,Ear Nose and Throat Service,12,1332.4596961102168,12193.522286514599,13525.981982624815,13525.981982624819,-3.637978807091713e-12,3.637978807091713e-12
